title,url,price_raw_orig,price_million_final,price_billion,price_vnd_original,location,district,area_m2,snippet
Siêu VIP Mặt Phố Trịnh Công Sơn đang cho thuê 200tr/tháng,https://homedy.com/ban-nha-mat-pho-quan-tay-ho-ha-noi/sieu-vip-trinh-cong-son-dang-cho-thue-200tr-thang-es3163105,140 Tỷ,140000.0,140.0,140.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,64.0,
Bán Đất Dự Án Trường Học Liên Cấp –  Thanh Trì – Hà Nội,https://homedy.com/ban-dat-nen-du-an-huyen-thanh-tri-ha-noi/truong-hoc-lien-cap-es3163288,270 Tỷ,270000.0,270.0,270.0,"Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,64.0,
Trục chính đường Lạc Hồng view trường học kinh doanh đa dạng,https://homedy.com/ban-nha-rieng-quan-thanh-xuan-ha-noi/truc-chinh-duong-lac-hong-view-truong-hoc-kinh-doanh-da-dang-es3163286,"1,8 Tỷ",1800.0,1.8,18.0,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,64.0,
"Cần tiền bán căn hộ E3B Yên Hòa Cầu Giấy, 94m2, 2 ngủ",https://homedy.com/ban-can-ho-quan-cau-giay-ha-noi/tien-e3b-yen-hoa-94m2-2-ngu-es3163281,"7,9 Tỷ",7900.0,7.9,79.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,94.0,
Siêu phẩm Ba Đình- Nhà 6 tầng thang máy- ô tô đỗ cửa,https://homedy.com/ban-nha-rieng-quan-ba-dinh-ha-noi/sieu-pham-6-tang-thang-may-o-to-do-cua-es3163278,25 Tỷ,25000.0,25.0,25.0,"Quận Ba Đình, Hà Nội",Quận Ba Đình,64.0,
"Bán tòa văn phòng 9 tầng mặt phố Dịch Vọng Hậu, DT 157m2, MT 30m, lô góc. Giá siêu hời 130 tỷ",https://homedy.com/ban-nha-mat-pho-quan-cau-giay-ha-noi/toa-van-phong-9-tang-dich-vong-hau-dt-157m2-mt-30m-lo-goc-gia-sieu-hoi-130-ty-es3163260,130 Tỷ,130000.0,130.0,130.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,157.0,
Biệt thự liền kề 4 tầng theo phong cách cổ điển. Mặt tiền 5m diện tích đất 75m2 nhưng giá chỉ 20tỷ.,https://homedy.com/ban-nha-biet-thu-lien-ke-huyen-dan-phuong-ha-noi/4-tang-theo-phong-cach-co-dien-mat-tien-5m-tich-dat-75m2-nhung-gia-chi-20ty-es3163231,20 Tỷ,20000.0,20.0,20.0,"Huyện Đan Phượng, Hà Nội",Huyện Đan Phượng,5.0,
Biệt thự liền kề 4 tầng theo phong cách cổ điển. Mặt tiền 5m diện tích đất 75m2 nhưng giá chỉ 20tỷ.,https://homedy.com/ban-nha-biet-thu-lien-ke-huyen-dan-phuong-ha-noi/4-tang-theo-phong-cach-co-dien-mat-tien-5m-tich-dat-75m2-nhung-gia-chi-20ty-es3163233,20 Tỷ,20000.0,20.0,20.0,"Huyện Đan Phượng, Hà Nội",Huyện Đan Phượng,5.0,
Ngô Gia Tự nhà mới coong nội thất xịn sò 38m2x5t ô tô gần,https://homedy.com/ban-nha-rieng-quan-long-bien-ha-noi/ngo-gia-tu-moi-coong-that-xin-so-38m2x5t-o-to-gan-es3163223,"6,2 Tỷ",6200.0,6.2,62.0,"Quận Long Biên, Hà Nội",Quận Long Biên,38.0,
Bán biệt thự nghỉ dưỡng Villa Avenue Vân Trì 1159m2 view sân golf giá tốt nhất thị trường,https://homedy.com/ban-nha-biet-thu-lien-ke-huyen-dong-anh-ha-noi/nghi-duong-villa-avenue-van-tri-1159m2-view-san-golf-gia-tot-nhat-thi-truong-es2062969,Thỏa thuận,,,,"Huyện Đông Anh, Hà Nội",Huyện Đông Anh,1159.0,
Quỹ căn chuyển nhượng giá tốt cần bán tại dự án Sunshine Golden River - Tây Hồ,https://homedy.com/ban-can-ho-sunshine-golden-river/quy-chuyen-nhuong-gia-tot-tai-du-an-tay-es1798821,Thỏa thuận,,,,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,64.0,
Chính chủ bán gấp căn góc biệt thự TT3 vị trí 01 mặt đường đôi 40m khu đô thị Thành Phố giao lưu,https://homedy.com/ban-nha-biet-thu-lien-ke-khu-do-thi-thanh-pho-giao-luu/chinh-chu-gap-can-goc-tt3-vi-tri-01-mat-duong-doi-40m-es2444087,Thỏa thuận,,,,"Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,1.0,
"Nhà mặt phố Nguyễn Chí Thanh. Diện tích 38m2, 4 tầng, MT 4.4m. Cho thuê 35tr/tháng. Giá 14.6 tỷ",https://homedy.com/ban-nha-mat-pho-quan-dong-da-ha-noi/nguyen-chi-thanh-dien-tich-38m2-4-tang-mt-4m-cho-thue-35tr-thang-gia-14-6-ty-es3163198,"14,6 Tỷ",14600.0,14.6,146.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,38.0,
"Toà văn phòng mặt phố Láng Hạ, 1 mặt ngõ. Giá đầu tư. Diện tích 132m2, 8 tầng, MT 6m. Chào 85 tỷ",https://homedy.com/ban-nha-mat-pho-quan-dong-da-ha-noi/toa-van-phong-lang-1-ngo-gia-dau-tu-dien-tich-132m2-8-tang-mt-6m-chao-85-ty-es3163197,85 Tỷ,85000.0,85.0,85.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,1.0,
"Cần bán gấp siêu phẩm Trích Sài 96m2, 4T, lô góc, giá chốt bất ngờ",https://homedy.com/ban-nha-rieng-quan-tay-ho-ha-noi/can-gap-sieu-pham-trich-sai-96m2-4t-lo-goc-gia-chot-bat-ngo-es3163196,"34,9 Tỷ",34900.0,34.9,349.0,"Quận Tây Hồ, Hà Nội",Quận Tây Hồ,96.0,
Jade Square Cổ Nhuế -  Ra mắt căn hộ 2Pn - 3Pn - 4Pn ( Chiết khấu đợt 1 siêu tốt ) Lh 0987106521,https://homedy.com/ban-can-ho-the-jade-orchid-garden/square-co-nhue-ra-mat-2pn-3pn-4pn-chiet-khau-dot-1-sieu-tot-lh-0987106521-es3145062,Thỏa thuận,,,,"quận Bắc Từ Liêm, thành phố Hà Nội",quận Bắc Từ Liêm,64.0,
Hồng Mai - 33M2 - 8.86 tỷ 1 Nhà ra phố  - Ô CHỜ - Mặt phố tương lai,https://homedy.com/ban-nha-rieng-quan-hai-ba-trung-ha-noi/hong-mai-33m2-8-86-ty-1-ra-pho-o-cho-mat-tuong-lai-es3163177,"8,86 Tỷ",8860.0,8.86,886.0,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,33.0,
Bán Gấp Nhà Yên NghĩaÔ Tô Tránh 45m² 5 Tầng - Ngõ Thông Hà Đông-0924736668,https://homedy.com/ban-nha-rieng-quan-ha-dong-ha-noi/gap-yen-nghiao-to-tranh-45m-5-tang-ngo-thong-0924736668-es3163157,"5,4 Tỷ",5400.0,5.4,54.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,45.0,
"Biệt thự liền kề theo phong cách cổ điển châu âu. Nhưng với giá chỉ 12,7tỷ",https://homedy.com/ban-nha-biet-thu-lien-ke-huyen-dan-phuong-ha-noi/theo-phong-cach-co-dien-chau-au-nhung-voi-gia-chi-127ty-es3163102,"12,7 Tỷ",12700.0,12.7,127.0,"Huyện Đan Phượng, Hà Nội",Huyện Đan Phượng,64.0,
Lạc Trung 75m2 Phân Lô Ô chờ thang máy Dân Xây 23.9 tỷ,https://homedy.com/ban-nha-rieng-quan-hai-ba-trung-ha-noi/lac-75m2-phan-lo-o-cho-thang-may-dan-xay-23-9-ty-es3163085,"23,9 Tỷ",23900.0,23.9,239.0,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,75.0,
Bán căn hộ cao cấp Sun Feliza Suites Cầu Giấy-Hà Nội,https://homedy.com/ban-can-ho-quan-cau-giay-ha-noi/cao-cap-sun-feliza-suites-es3157229,"9,7 Tỷ",9700.0,9.7,97.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,64.0,
"Bán Nhà Ô Chợ Dừa – 50m², 4 Tầng, MT 4m, Gần Hồ Hào Nam – Giá 11.35 Tỷ",https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/o-cho-dua-50m-4-tang-mt-4m-gan-ho-hao-nam-gia-11-35-ty-es3163056,"11,35 Tỷ",11350.0,11.35,1135.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,50.0,
"Bán đất tại Duyên Thái, Thường Tín, Hà Nội, 3,4 tỷ, 57m2, pháp lý đầy đủ",https://homedy.com/ban-dat-huyen-thuong-tin-ha-noi/tai-duyen-thai-34-ty-57m2-phap-ly-day-du-es3163025,"3,4 Tỷ",3400.0,3.4,34.0,"Huyện Thường Tín, Hà Nội",Huyện Thường Tín,57.0,
