House Direction,Balcony Direction,Bedrooms,Toilets,Legits,Furnitures,Floors,Facade,Entrance,City,District,Ward,Street,Area,Price,X,Y
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Sóc Sơn,Xã Quang Tiến,Đường 131,62.5,1100.0,21.2295473,105.7905055
Tây - Bắc,Đông - Bắc,2.0,2.0,,,,,,Hà Nội,Cầu Giấy,Phường Yên Hòa,Phố Trung Kính,82.0,3300.0,21.0159572,105.7937939
,,4.0,3.0,Sổ đỏ chính chủ.,,4.0,3.8,,Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Bùi Xương Trạch,52.0,5000.0,20.9955213,105.8044695
,,2.0,1.0,Sổ đỏ chính chủ sẵn sàng giao dịch,Đầy đủ,,,,Hà Nội,Thanh Xuân,Phường Thanh Xuân Nam,,46.0,1170.0,21.0380687,105.7466523
,,,,Sổ đỏ/ Sổ hồng,,3.0,3.85,,Hà Nội,Hai Bà Trưng,Phường Đống Mác,Phố Lò Đúc,27.0,3100.0,21.0110707,105.8599491
,,,,,,4.0,,,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Hoàng Cầu,115.0,21800.0,21.021334,105.8243089
Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Hà Đông,Phường Yết Kiêu,Đường Chu Văn An,70.0,2830.0,20.974619,105.779051
Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,,44.0,6,Hà Nội.,Quốc Oai,Xã Phú Mãn,,2981.0,19376.5,21.0283334,105.854041
,,2.0,,,,3.0,4.5,,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Giảng Võ,51.0,5500.0,21.021334,105.8243089
,,,,Sổ lớn chính chủ đính kèm vi bằng.,,,6.0,,Hà Nội,Quốc Oai,Xã Cấn Hữu,Đường 421B,72.0,400.0,21.0283334,105.854041
,,4.0,4.0,Sổ đỏ,,4.0,3.5,2.5,Hà Nội.,Cầu Giấy,Phường Mai Dịch,Đường Hồ Tùng Mậu,37.0,3500.0,21.0358867,105.7785908
,,,,,,,,,Hà Nội,Cầu Giấy,Phường Dịch Vọng,Đường Trần Thái Tông,50.0,4750.0,21.0329958,105.7928552
,,3.0,3.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,4.0,4.0,,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Đường Đê La Thành,40.0,5100.0,21.021334,105.8243089
,,4.0,4.0,"Sổ đỏ chính chủ, sẵn sàng giao dịch.",Đẹp.,5.0,,16,Hà Nội,Đống Đa,Phường Láng Hạ,Phố Trúc Khê,38.0,11400.0,21.0166748,105.8104708
Tây - Bắc,Tây - Bắc,5.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất.,5.0,6.0,10,Hà Nội,Long Biên,Phường Phúc Lợi,Đường Phúc Lợi,74.0,13650.0,21.0357231,105.9153081
Đông - Nam,,2.0,2.0,Đang chờ sổ,"Nội thất cđt, có sàn gỗ, vệ sinh, điều hòa, thạch cao, smart home",,,,Hà Nội,Nam Từ Liêm,Phường Tây Mỗ,,64.0,2900.0,21.0058017,105.7485162
,,4.0,5.0,Sổ đỏ/ Sổ hồng,,6.0,4.0,4,Hà Nội,Cầu Giấy,Phường Dịch Vọng,Đường Cầu Giấy,40.0,8600.0,21.0329958,105.7928552
,,3.0,,Sổ đỏ/ Sổ hồng,,5.0,5.8,3,Hà Nội,Hà Đông,Phường Văn Quán,Đường Trần Phú,31.0,4900.0,20.9741659,105.7873563
,,4.0,4.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4.0,4.0,,Hà Nội,Cầu Giấy,Phường Trung Hòa,Phố Trung Kính,55.0,6800.0,21.0373324,105.7910892
,,4.0,,Sổ đỏ/ Sổ hồng,Đầy đủ,5.0,4.0,,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Hoàng Quốc Việt,46.0,5000.0,21.0451915,105.7861662
,,5.0,3.0,Sổ đỏ/ Sổ hồng.,Nội thất cơ bản.,4.0,3.8,4,Hà Nội,Bắc Từ Liêm,Phường Đức Thắng,Phố Văn Hội,45.0,2900.0,21.0742766,105.7735951
,,9.0,4.0,"Sổ đẹp, nở hậu.","Đẹp, tiện nghi.",5.0,4.9,20,Hà Nội,Ba Đình,Phường Kim Mã,Phố Kim Mã,52.0,23000.0,21.0306498,105.8250933
,,6.0,4.0,"Sổ vuông vắn, sẵn sàng giao dịch.","Đẹp, sang trọng.",5.0,4.0,6,Hà Nội,Đống Đa,Phường Láng Hạ,Đường Nguyên Hồng,52.0,15000.0,21.0166748,105.8104708
,,,,Sổ đỏ,,4.0,,,Hà Nội,Nam Từ Liêm,Thị trấn Cầu Diễn,Đường Hồ Tùng Mậu,30.0,2750.0,21.0283334,105.854041
,,5.0,5.0,Sổ đỏ/ Sổ hồng,,5.0,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Hàm Nghi,40.0,8450.0,21.0274134,105.7833341
Tây - Nam,Đông - Bắc,2.0,2.0,Có sổ.,,,,,Hà Nội,Thanh Trì,Xã Tân Triều,Đường Nguyễn Xiển,67.0,2200.0,21.0283334,105.854041
,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,5.4,,Hà Nội,Tây Hồ,Phường Quảng An,Đường Xuân Diệu,70.0,33000.0,21.0630535,105.8283851
Tây - Bắc,,,,Hợp đồng mua bán,,,5.3,23,Hà Nội,Chương Mỹ,Thị trấn Xuân Mai,Đường Quốc lộ 21A(Quốc lộ 21),90.1,1892.1,21.0283334,105.854041
,,,,Sổ đỏ/ Sổ hồng,,5.0,6.0,,Hà Nội,Tây Hồ,Phường Xuân La,,132.0,50160.0,21.0684199,105.8072107
Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,,5.0,11,Hà Nội,Long Biên,Phường Giang Biên,,95.0,9500.0,20.9308258,105.7165038
Đông - Bắc,,,,Sổ đỏ/ Sổ hồng.,,,4.7,13,Hà Nội,Long Biên,Phường Giang Biên,,55.0,6325.0,20.9308258,105.7165038
,,,,Sổ đỏ/ Sổ hồng,,,5.0,8,Hà Nội,Sóc Sơn,Quảng Hội Xã Quang Tiến,Đường 131,50.4,982.8,21.0283334,105.854041
Tây - Bắc,,4.0,,Sổ đỏ/ Sổ hồng.,,5.0,3.8,4,Hà Nội,Long Biên,Phường Thạch Bàn,,44.0,5200.0,21.0180529,105.9016988
Đông - Nam,,,,Sổ đỏ.,,,6.3,13,Hà Nội,Long Biên,Phường Phúc Lợi,Đường Phúc Lợi,51.0,4700.0,21.0357231,105.9153081
Đông - Nam,,4.0,4.0,Sổ đỏ/ Sổ hồng.,,5.0,3.6,2,Hà Nội,Long Biên,Phường Sài Đồng,Đường Vũ Xuân Thiều,42.0,4200.0,21.0357231,105.9153081
,,5.0,3.0,Sổ đỏ chính chủ giao dịch ngay,Đầy đủ tiện nghi.,5.0,4.0,3,Hà Nội,Đống Đa,Phường Láng Hạ,Phố Pháo Đài Láng,48.0,5000.0,21.0166748,105.8104708
,,,,Sổ đỏ/ Sổ hồng.,,,4.0,,Hà Nội,Gia Lâm,Xã Kim Sơn,Đường Quốc Lộ 17,45.0,1150.0,21.0283334,105.854041
,,3.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Long Biên,Phường Bồ Đề,Đường Nguyễn Văn Cừ,105.0,3990.0,21.0455068,105.8691113
,,2.0,1.0,Sổ hồng.,Nội thất đầy đủ.,,,,Hà Nội,Hoàng Mai,Phường Giáp Bát,Đường Giải Phóng,48.0,850.0,20.9846404,105.8431859
,,3.0,,Sổ đỏ/ Sổ hồng.,,5.0,,,Hà Nội,Long Biên,Phường Cự Khối,Đường Cổ Linh,50.0,6000.0,21.0099858,105.9053582
,,2.0,2.0,,,,,,Hà Nội,Đống Đa,Phường Láng Hạ,Đường Nguyễn Chí Thanh,86.0,5000.0,21.0166748,105.8104708
Tây - Bắc,Đông - Nam,2.0,1.0,Sổ đỏ/ Sổ hồng,"- Sàn gỗ, trần thạch cao, tủ bếp trên dưới, bếp từ, hút mùi, nóng lạnh, thiết bị vệ sinh đầy đủ, các đèn điện chiếu sáng và trang trí tuyệt đẹp, đầu chờ internet, truyền hình cáp.",,,,Hà Nội,Hoàng Mai,Phường Hoàng Văn Thụ,Đường Hoàng Mai,50.0,900.0,20.9906699,105.853436
,,3.0,2.0,,,,,,Hà Nội,Cầu Giấy,Phường Trung Hòa,Phố Nguyễn Ngọc Vũ,80.0,3000.0,21.0373324,105.7910892
Đông - Nam,,2.0,2.0,Sổ đỏ/ Sổ hồng,Cao cấp ,2.0,8.0,25,Hà Nội,Nam Từ Liêm,Phường Tây Mỗ,Đường Đại lộ Thăng Long,122.0,11000.0,21.0058017,105.7485162
Bắc,,6.0,8.0,,,8.0,8.8,13.5,Hà Nội,Tây Hồ,Phường Thụy Khuê,,80.0,26500.0,21.0437217,105.8197536
,,4.0,6.0,Sổ đỏ/ Sổ hồng,Cơ bản,7.0,7.1,7,Hà Nội,Đống Đa,Phường Láng Hạ,Đường Nguyên Hồng,100.0,41000.0,21.0166748,105.8104708
,,3.0,5.0,Sổ đỏ/ Sổ hồng,Đầy đủ,7.0,5.4,7,Hà Nội,Đống Đa,Phường Láng Hạ,Đường Nguyên Hồng,60.0,27000.0,21.0166748,105.8104708
,,2.0,,,,,,,Hà Nội.,Nam Từ Liêm,Phường Mễ Trì,Đường Đại lộ Thăng Long,70.0,3400.0,21.0100131,105.786309
,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,7.0,16.0,7,Hà Nội,Đống Đa,Phường Láng Hạ,Đường Nguyên Hồng,66.0,24500.0,21.0166748,105.8104708
Đông - Bắc,,4.0,4.0,Sổ đỏ,Cơ bản,5.0,5.4,7,Hà Nội,Đống Đa,Phường Láng Thượng,Đường Nguyên Hồng,54.0,24000.0,21.0229999,105.8061749
,,4.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản,5.0,3.6,7,Hà Nội,Đống Đa,Phường Láng Hạ,Đường Nguyên Hồng,48.0,13800.0,21.0166748,105.8104708
,,9.0,9.0,Sổ đỏ/ Sổ hồng,,7.0,11.3,8,Hà Nội,Ba Đình,Phường Kim Mã,Phố Kim Mã,76.0,26500.0,21.0306498,105.8250933
Tây - Nam,Đông - Bắc,,,,,,,,Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Nguyễn Chánh,65.0,1625.0,21.0159572,105.7937939
,,3.0,2.0,,"Đầy đủ, cao cấp.",,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Đình Thôn,103.0,3860.0,21.0205027,105.7639271
,,6.0,6.0,Sổ đỏ/ Sổ hồng,,5.0,4.0,10,Hà Nội,Ba Đình,Phường Kim Mã,Phố Kim Mã,50.0,27500.0,21.0306498,105.8250933
,,4.0,3.0,Sổ đỏ/ Sổ hồng,,4.0,4.1,8,Hà Nội,Ba Đình,Phường Kim Mã,Phố Kim Mã,43.0,15700.0,21.0306498,105.8250933
,,7.0,7.0,Sổ đỏ/ Sổ hồng,,7.0,3.5,10,Hà Nội,Ba Đình,Phường Kim Mã,Phố Kim Mã,35.0,21500.0,21.0306498,105.8250933
,,2.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Gia Lâm,,,84.0,3500.0,0.0,0.0
,,14.0,14.0,Sổ đỏ/ Sổ hồng,Đầy đủ,8.0,5.5,6,Hà Nội,Ba Đình,Phường Liễu Giai,Phố Liễu Giai,100.0,42000.0,21.0337658,105.8130407
,,2.0,2.0,,"Bàn tủ bếp đầy đủ, nóng lạnh, sàn, thiết bị vệ sinh.",,,,Hà Nội,Thanh Xuân,Phường Nhân Chính,Đường Hồ Mễ Trì,68.0,3000.0,21.0045152,105.8012372
,,3.0,2.0,,,,,,Hà Nội,Hai Bà Trưng,Phường Vĩnh Tuy,Đường Dương Văn Bé,109.0,3880.0,21.0141355,105.8654629
,,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Phạm Hùng,104.0,3200.0,21.0205027,105.7639271
Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,"Đầy đủ, cao cấp.",,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Nguyễn Hoàng,72.0,3250.0,21.0274134,105.7833341
Đông,Đông,6.0,8.0,Hợp đồng mua bán,Bàn giao thô - hoàn thiện mặt ngoài.,5.0,5.0,12,Hà Nội,Hoàng Mai,Phường Hoàng Văn Thụ,Đường Tân Mai,90.0,13050.0,20.9906699,105.853436
,,,,,,,15.0,,Hà Nội,Tây Hồ,Phường Thụy Khuê,Đường Thụy Khuê,165.0,50000.0,21.0437217,105.8197536
Nam,Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Cầu Giấy,Phường Dịch Vọng Hậu,Đường Xuân Thủy,70.0,4100.0,21.0388103,105.7818897
,,,,Sổ đỏ/ Sổ hồng,,,4.0,,Hà Nội,Thanh Xuân,Phường Hạ Đình,Đường Nguyễn Xiển,52.0,11600.0,20.9905571,105.8127596
,,4.0,,,,30.0,3.5,,Hà Nội,Hoàng Mai,Phường Định Công,Đường Định Công Hạ,30.0,1950.0,20.9765347,105.812497
,,4.0,,Sổ đỏ/ Sổ hồng.,,5.0,5.1,20,Hà Nội,Hoàng Mai,Phường Tân Mai,Đường Tân Mai,85.0,18000.0,20.9831197,105.8487776
,,4.0,,Sổ đỏ chính chủ.,,4.0,4.0,6,Hà Nội,Thanh Xuân,Phường Khương Mai,Đường Trường Chinh,52.0,9500.0,21.0283334,105.854041
,,3.0,,Sổ đỏ,Full nội thất.,5.0,,,Hà Nội,Hoàng Mai,Phường Vĩnh Hưng,Đường Đông Thiên,32.0,3650.0,20.9946062,105.885675
,,2.0,,Sổ đỏ/ Sổ hồng.,,4.0,,,Hà Nội,Hai Bà Trưng,Phường Vĩnh Tuy,Đường Minh Khai,28.0,2100.0,21.0141355,105.8654629
,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Thanh Trì,Xã Tứ Hiệp,Đường Trần Thủ Độ,70.0,1650.0,20.9446726,105.8555904
Nam,,6.0,,,Full,5.0,6.0,,Hà Nội,Hai Bà Trưng,Phường Trương Định,Phố Đại La,57.0,7800.0,21.0283334,105.854041
Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Phạm Hùng,71.0,5300.0,21.0205027,105.7639271
,,6.0,,Sổ đỏ chính chủ.,,6.0,5.0,,Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Bùi Xương Trạch,83.2,9600.0,20.9955213,105.8044695
,,,,,,,,,Hà Nội,Gia Lâm,Xã Kim Sơn,,109.0,2980.0,21.0283334,105.854041
,,4.0,,,,3.0,3.7,,Hà Nội,Hoàng Mai,Phường Định Công,Đường Định Công Hạ,37.0,1950.0,20.9765347,105.812497
Đông - Nam,Đông - Nam,2.0,1.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Cầu Giấy,Phường Trung Hòa,,56.0,2600.0,21.0373324,105.7910892
,,4.0,3.0,"- Sổ vuông đẹp, pháp lý chuẩn. Giao dịch luôn.",Chủ để lại tất cả nội thất sịn. Khách mua xách vali về ở luôn.,4.0,4.0,3,Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Khương Đình,48.0,6000.0,20.9955213,105.8044695
,,4.0,,Sổ đỏ/ Sổ hồng,,4.0,4.0,,Hà Nội,Thanh Xuân,Phường Khương Trung,Đường Vương Thừa Vũ,54.0,8000.0,20.9892133,105.809648
,,2.0,,,,4.0,,,Hà Nội,Đống Đa,Phường Ô Chợ Dừa,Phố Khâm Thiên,25.0,2500.0,21.021334,105.8243089
,,5.0,5.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,4.0,,40,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Võ Chí Công,230.0,57500.0,21.0791733,105.815656
Đông - Nam,Đông - Nam,4.0,3.0,,Xịn xò.,3.0,5.0,12,Hà Nội,Thường Tín,Xã Nhị Khê,Đường Quốc lộ 1A,80.0,7500.0,20.8956466,105.8455427
,,,,,,,11.2,,Hà Nội,Bắc Từ Liêm,Phường Đức Thắng,Phố Văn Hội,209.0,18810.0,21.0742766,105.7735951
Đông - Bắc,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Thanh Xuân,Phường Thượng Đình,Đường Nguyễn Trãi,113.0,6110.0,20.9994658,105.8159609
Đông - Nam,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Nhà có nội thất cơ bản ,,,,Hà Nội,Đống Đa,Phường Thịnh Quang,Phố Thái Thịnh,115.0,4500.0,21.0078229,105.8182562
,Đông - Nam,3.0,2.0,Sổ đỏ chính chủ.,CĐT.,,,,Hà Nội,Nam Từ Liêm,Phường Mễ Trì,Đường Phạm Hùng,107.8,5760.0,21.0100131,105.786309
,,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,3.0,3.8,4,Hà Nội,Hà Đông,Phường Quang Trung,Đường Quang Trung,40.0,2500.0,21.0120316,105.8253054
,,,,,,,,7,Hà Nội,Bắc Từ Liêm,Phường Đông Ngạc,,80.0,10000.0,21.0799477,105.7736253
Tây - Nam,,,,,,,,,Hà Nội,Đông Anh,Xã Hải Bối,,48.5,2400.0,21.0283334,105.854041
,,,,,,,,,Hà Nội,Bắc Từ Liêm,Phường Thụy Phương,Đường Thụy Phương,143.0,13500.0,21.0283334,105.854041
Đông - Nam,,2.0,1.0,,Đẹp ,1.0,4.0,4,Hà Nội,Thường Tín,Xã Nhị Khê,,43.0,1550.0,20.8956466,105.8455427
,,,,,,,,,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 2,,40.0,2700.0,21.0608239,105.7781037
,,,,,,,5.0,,Hà Nội,Bắc Từ Liêm,Phường Liên Mạc,Đường Yên Nội,83.6,5434.0,21.0283334,105.854041
,,,,,,,8.0,,Hà Nội,Bắc Từ Liêm,Phường Đức Thắng,Phố Văn Hội,96.0,6432.0,21.0742766,105.7735951
,,,,,,3.0,,7,Hà Nội,Bắc Từ Liêm,Phường Thụy Phương,Đường Thụy Phương,55.0,7000.0,21.0283334,105.854041
,,,,,,,,,Hà Nội,Bắc Từ Liêm,Phường Thụy Phương,Đường Tân Phong,207.0,11385.0,21.0283334,105.854041
,,,,,,3.0,8.2,,Hà Nội,Bắc Từ Liêm,Phường Đông Ngạc,Đường An Dương Vương,73.7,6264.5,21.0799477,105.7736253
Bắc,Nam,2.0,2.0,,Nội thất đầy đủ.,,,,Hà Nội,Hoàng Mai,Phường Tương Mai,Đường Tân Mai,73.0,2800.0,20.9873744,105.8517517
,,3.0,,Sổ đỏ,,4.0,4.2,,Hà Nội,Đống Đa,Phường Ngã Tư Sở,Đường Tôn Thất Tùng,25.0,2550.0,21.0039054,105.8208438
,,2.0,1.0,,,,,,Hà Nội,Ba Đình,Phường Giảng Võ,Phố Kim Mã,70.0,3500.0,21.0306498,105.8250933
Đông - Nam,,2.0,1.0,Sổ đỏ/ Sổ hồng,Không nội thất,1.0,3.1,6,Hà Nội,Hà Đông,Phường Quang Trung,Đường Bế Văn Đàn,40.0,4699.0,21.0120316,105.8253054
,,4.0,2.0,,,,,,Hà Nội,Tây Hồ,Phường Thụy Khuê,Đường Thụy Khuê,180.0,14000.0,21.0437217,105.8197536
,,,,,,,3.5,7.6,Hà Nội,Gia Lâm,Thị trấn Trâu Quỳ,,57.6,3283.2000000000003,21.0076419,105.9372958
Đông,Tây,2.0,2.0,Sổ đỏ/ Sổ hồng,Full.,,,,Hà Nội.,Nam Từ Liêm,Phường Mễ Trì,Đường Trần Hữu Dực,62.0,2600.0,21.0100131,105.786309
Đông - Bắc,Đông - Bắc,6.0,3.0,Sổ đỏ/ Sổ hồng,Cơ bản,4.0,5.35,3,Hà Nội,Ba Đình,Phường Ngọc Hà,Đường Hoàng Hoa Thám,55.1,8150.0,21.0386128,105.8279912
,Đông - Nam,3.0,2.0,Đã có sổ,,,,,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Võ Chí Công,100.0,3800.0,21.0791733,105.815656
,,,,,,,,,Hà Nội,Hoài Đức,Xã Vân Canh,,201.0,17000.0,21.0294802,105.7276153
,,,,Sổ đỏ/ Sổ hồng,,,4.5,,Hà Nội,Hà Đông,Phường Biên Giang,Đường Phúc Thành,71.0,3500.0,20.9309225,105.7169082
Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,,5.0,13,Hà Nội,Long Biên,Phường Giang Biên,Đường Phúc Lợi,74.0,8288.0,20.9308258,105.7165038
Đông - Nam,Đông - Nam,5.0,5.0,Sổ đỏ/ Sổ hồng,Cơ bản,5.0,9.0,13,Hà Nội,Hoàng Mai,Phường Định Công,Đường Định Công,96.0,17500.0,20.9765347,105.812497
,,3.0,4.0,Sổ đỏ/ Sổ hồng,,5.0,4.5,4,Hà Nội,Hai Bà Trưng,Phường Đồng Tâm,Phố Đại La,40.0,7800.0,21.0032382,105.8432675
,,6.0,4.0,Sổ đỏ/ Sổ hồng,,5.0,4.0,4,Hà Nội,Hai Bà Trưng,Phường Đồng Tâm,Phố Đại La,40.0,7800.0,21.0032382,105.8432675
Đông - Bắc,,7.0,4.0,,,,4.3,8,Hà Nội,Hà Đông,Phường Văn Quán,Đường Lương Ngọc Quyến,90.0,14000.0,20.9741659,105.7873563
Nam,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Tây Hồ,Phường Xuân La,Đường Xuân La,38.0,600.0,21.0684199,105.8072107
,,,,Sổ đỏ/ Sổ hồng,,,,7,Hà Nội,Tây Hồ,Phường Thụy Khuê,Đường Thụy Khuê,33.3,8300.0,21.0437217,105.8197536
,,,,Sổ đỏ chính chủ.,"Nội thất hiện đại, sang trọng. Hai thang máy nhập khẩu nguyên bộ Mitsubishi, hệ thống điều hòa trung tâm Daikin, thiết bị vệ sinh ToTo, vách kính mặt tiền Eurowindow 2 lớp cách âm cách nhiệt.",8.0,30.0,,Hà Nội,Cầu Giấy,Phường Dịch Vọng Hậu,Phố Dịch Vọng Hậu,300.0,210000.0,21.0388103,105.7818897
Đông,Tây,2.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,,,,Hà Nội,Cầu Giấy,Phường Dịch Vọng Hậu,Đường Phạm Văn Đồng,70.0,2500.0,21.0388103,105.7818897
,,,,Sổ đỏ/ Sổ hồng,,,4.5,,Hà Nội,Hoàng Mai,Phường Đại Kim,Đường Kim Giang,65.0,8180.0,20.9729657,105.8366725
,,,,Đã có sổ đỏ.,,3.0,8.0,,Hà Nội,Long Biên,Phường Long Biên,Đường Cổ Linh,136.0,23000.0,21.0099858,105.9053582
Đông - Nam,,3.0,4.0,Sổ đỏ/ Sổ hồng,,5.0,3.5,2.5,Hà Nội,Hoài Đức,Xã Kim Chung,Đường Lai Xá,30.0,2500.0,21.0527214,105.7095565
,,42.0,42.0,Sổ đỏ/ Sổ hồng.,,7.0,,,Hà Nội,Nam Từ Liêm,Phường Mễ Trì,đường Mễ Trì,192.0,28200.0,21.0100131,105.786309
Tây - Nam,Đông - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,,Hà Nội,Cầu Giấy,Phường Yên Hòa,Phố Trung Kính,65.0,3000.0,21.0159572,105.7937939
Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,,8.0,4.5,Hà Nội,Phúc Thọ,Xã Tích Giang,,84.0,860.0,21.0283334,105.854041
Đông - Bắc,,,,Sổ đỏ/ Sổ hồng.,,,6.0,30,Hà Nội,Thanh Xuân,Phường Thượng Đình,Đường Nguyễn Trãi,291.0,30000.0,20.9994658,105.8159609
,,4.0,3.0,Có sổ và GPXD,Nội thất cơ bản,4.0,3.5,2.5,Hà Nội,Hà Đông,Phường Yên Nghĩa,Đường Hòa Bình,35.0,2100.0,20.9307173,105.7331428
,,2.0,3.0,Có sổ và GPXD,NỘi thất cơ bản.,4.0,3.5,2.8,Hà Nội,Bắc Từ Liêm,Phường Liên Mạc,Đường Đại Cát,32.0,2400.0,21.0283334,105.854041
,,3.0,2.0,Sổ đỏ/ Sổ hồng,Cơ bản,,,,Hà Nội,Nam Từ Liêm,Phường Xuân Phương,Đường Trần Hữu Dực,122.0,2900.0,21.0312098,105.7555266
Đông - Bắc,Đông - Bắc,,,Hợp đồng mua bán,,,,,Hà Nội.,Nam Từ Liêm,Phường Tây Mỗ,,95.0,9500.0,21.0058017,105.7485162
Đông - Nam,Tây - Nam,5.0,4.0,Đã có sổ đỏ,Nội thất đẹp,3.0,12.0,,Hà Nội,Tây Hồ,Phường Xuân La,đường Nguyễn Hoàng Tôn,300.0,60000.0,21.0684199,105.8072107
Đông - Bắc,Tây - Nam,2.0,1.0,Có sổ.,Nội thất đầy đủ,,,,Hà Nội,Thanh Trì,Xã Tứ Hiệp,Đường Nguyễn Bồ,70.0,1700.0,20.9446726,105.8555904
Đông,Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Full đồ,,,,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Phạm Văn Đồng,112.0,5000.0,21.0451915,105.7861662
,Đông - Nam,2.0,1.0,Sổ đỏ.,Full,,,,Hà Nội,Thanh Trì,Xã Tứ Hiệp,Đường Nguyễn Bồ,64.0,1680.0,20.9446726,105.8555904
,,4.0,3.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Cầu Giấy,Phường Trung Hòa,,87.0,3480.0,21.0373324,105.7910892
Tây,Tây,4.0,3.0,Sổ đỏ/ Sổ hồng,Full nội thất.,3.0,5.5,5,Hà Nội,Thanh Trì,Xã Ngọc Hồi,Đường Ngũ Hiệp,45.0,4500.0,20.9473599,105.8455211
,,4.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,6.0,,4,Hà Nội,Đống Đa,Phường Láng Hạ,Phố Láng Hạ,50.0,11000.0,21.0166748,105.8104708
Tây - Bắc,Tây - Bắc,4.0,4.0,Sổ đỏ,,,9.0,28,Hà Nội,Hà Đông,Phường Dương Nội,Đường Tố Hữu,180.0,21000.0,20.9624811,105.743952
Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,"Full, sang trọng.",,,,Hà Nội,Thanh Xuân,Phường Nhân Chính,,70.0,2450.0,21.0045152,105.8012372
,,,,,,,,,Hà Nội,Hà Đông,Phường Dương Nội,Đường La Dương,50.0,4500.0,20.9624811,105.743952
Tây - Bắc,Đông - Nam,1.0,1.0,Hợp đồng mua bán.,Full nội thất.,,,,Hà Nội.,Nam Từ Liêm,Phường Mễ Trì,Đường Đại lộ Thăng Long,27.0,1150.0,21.0100131,105.786309
Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,,,40.0,7,Hà Nội,Sóc Sơn,Xã Minh Phú,Đường 14,1726.0,10701.2,21.2190579,105.8044681
,,4.0,5.0,Sổ đỏ/ Sổ hồng,"Sang trọng, hiện đại, đáp ứng mọi nhu cầu sinh hoạt",6.0,5.5,20,Hà Nội,Ba Đình,Phường Quán Thánh,Đường Hàng Than,35.0,14500.0,21.0399217,105.8407126
,,,,,,,,,Hà Nội,Hoài Đức,Xã An Khánh,Đường Đại lộ Thăng Long,236.0,37760.0,20.9599107,105.7387786
,,,,,,,,,Hà Nội,Hoài Đức,Xã An Khánh,,154.0,18500.0,20.9599107,105.7387786
